player,fname,lname,posd,start,cteam,comb_player
BK-1050,Ben,Koyack,TE,2015,JAC,"Ben Koyack, JAC TE"
BL-0100,Brandon,LaFell,RWR,2010,CIN,"Brandon LaFell, CIN RWR"
BL-1150,Brandon,Linder,C,2014,JAC,"Brandon Linder, JAC C"
BL-1350,Bennie,Logan,LDT,2013,PHI,"Bennie Logan, PHI LDT"
BM-0250,Bradley,Marquez,LWR,2015,LA,"Bradley Marquez, LA LWR"
BM-0300,Brandon,Marshall,LWR,2006,NYJ,"Brandon Marshall, NYJ LWR"
BM-0330,Brandon,Marshall,ILB,2012,DEN,"Brandon Marshall, DEN ILB"
BM-0337,Byron,Marshall,RB,2016,PHI,"Byron Marshall, PHI RB"
BM-0345,Blake,Martinez,MLB,2016,GB,"Blake Martinez, GB MLB"
BM-0360,Bobby,Massie,RT,2012,CHI,"Bobby Massie, CHI RT"
BM-0600,Byron,Maxwell,LCB,2011,MIA,"Byron Maxwell, MIA LCB"
BM-0750,Benson,Mayowa,RDE,2013,DAL,"Benson Mayowa, DAL RDE"
BM-0775,Bobby,McCain,LCB,2015,MIA,"Bobby McCain, MIA LCB"
BM-0800,Brice,McCain,LCB,2009,TEN,"Brice McCain, TEN LCB"
BM-1250,Brad,McDougald,FS,2013,TB,"Brad McDougald, TB FS"
BM-1450,Benardrick,McKinney,RILB,2015,HOU,"Benardrick McKinney, HOU RILB"
BM-1650,Brandon,McManus,PK,2013,DEN,"Brandon McManus, DEN PK"
BM-1800,Brandon,Mebane,NT,2007,SD,"Brandon Mebane, SD NT"
BM-2150,Brian,Mihalik,RT,2015,PIT,"Brian Mihalik, PIT RT"
BM-2350,Braxton,Miller,RWR,2016,HOU,"Braxton Miller, HOU RWR"
BM-2850,Barkevious,Mingo,SLB,2013,NE,"Barkevious Mingo, NE SLB"
BM-3675,Blake,Muir,LG,2016,ATL,"Blake Muir, ATL LG"
BM-3800,Brandon,Myers,TE,2009,TB,"Brandon Myers, TB TE"
BN-0700,Brad,Nortman,P,2012,JAC,"Brad Nortman, JAC P"
BO-0125,Bennett,Okotcha,RCB,2016,TEN,"Bennett Okotcha, TEN RCB"
BO-0150,Branden,Oliver,RB,2014,SD,"Branden Oliver, SD RB"
BO-0400,Brian,Orakpo,ROLB,2009,TEN,"Brian Orakpo, TEN ROLB"
BO-0650,Brock,Osweiler,QB,2012,HOU,"Brock Osweiler, HOU QB"
BP-0450,Breshad,Perriman,RWR,2015,BAL,"Breshad Perriman, BAL RWR"
BP-0575,Brian,Peters,RILB,2015,HOU,"Brian Peters, HOU RILB"
BP-0625,Bryce,Petty,QB,2015,NYJ,"Bryce Petty, NYJ QB"
BP-0650,Bernard,Pierce,RB,2012,DEN,"Bernard Pierce, DEN RB"
BP-0750,Bradley,Pinion,P,2015,SF,"Bradley Pinion, SF P"
BP-1050,Brian,Poole,RCB,2016,ATL,"Brian Poole, ATL RCB"
BP-1200,Bilal,Powell,RB,2011,NYJ,"Bilal Powell, NYJ RB"
BP-1350,Brian,Price,DT,2016,GB,"Brian Price, GB DT"
BQ-0050,Brian,Quick,RWR,2012,LA,"Brian Quick, LA RWR"
BQ-0200,Brent,Qvale,RT,2014,NYJ,"Brent Qvale, NYJ RT"
BR-0050,Bobby,Rainey,RB,2012,NYG,"Bobby Rainey, NYG RB"
BR-0150,Bacarri,Rambo,SS,2013,MIA,"Bacarri Rambo, MIA SS"
BR-0175,Brian,Randolph,FS,2016,LA,"Brian Randolph, LA FS"
BR-0200,Brooks,Reed,LDE,2011,ATL,"Brooks Reed, ATL LDE"
BR-0250,Bernard,Reedy,RWR,2014,TB,"Bernard Reedy, TB RWR"
BR-1000,Brian,Robison,LDE,2007,MIN,"Brian Robison, MIN LDE"
BR-1050,Bradley,Roby,RCB,2014,DEN,"Bradley Roby, DEN RCB"
BR-1100,Ben,Roethlisberger,QB,2004,PIT,"Ben Roethlisberger, PIT QB"
BS-0550,Beau,Sandland,TE,2016,GB,"Beau Sandland, GB TE"
BS-0650,Bishop,Sankey,RB,2014,MIN,"Bishop Sankey, MIN RB"
BS-0850,Brennan,Scarlett,OLB,2016,HOU,"Brennan Scarlett, HOU OLB"
BS-0950,Brandon,Scherff,RG,2015,WAS,"Brandon Scherff, WAS RG"
BS-1150,Brian,Schwenke,C,2013,TEN,"Brian Schwenke, TEN C"
BS-1750,Brandon,Shell,RT,2016,NYJ,"Brandon Shell, NYJ RT"
BS-1775,Brandon,Shippen,RWR,2016,LA,"Brandon Shippen, LA RWR"
BS-2150,Blake,Sims,RB,2016,TB,"Blake Sims, TB RB"
BS-2300,Buster,Skrine,RCB,2011,NYJ,"Buster Skrine, NYJ RCB"
BS-3050,Bradley,Sowell,RT,2012,SEA,"Bradley Sowell, SEA RT"
BS-3200,Brandon,Spikes,MLB,2010,BUF,"Brandon Spikes, BUF MLB"
BT-0300,Brandon,Tate,RWR,2009,BUF,"Brandon Tate, BUF RWR"
BT-0575,Brandon,Thomas,LG,2014,DET,"Brandon Thomas, DET LG"
BT-0650,Brandon,Thompson,RES,2012,CIN,"Brandon Thompson, CIN RES"
BT-0950,Brynden,Trawick,FS,2013,OAK,"Brynden Trawick, OAK FS"
BT-0975,Bryce,Treggs,RWR,2016,PHI,"Bryce Treggs, PHI RWR"
BT-1250,Billy,Turner,RG,2014,DEN,"Billy Turner, DEN RG"
BU-0150,Brent,Urban,DE,2014,BAL,"Brent Urban, BAL DE"
BV-0175,Brian,Vogler,TE,2015,ATL,"Brian Vogler, ATL TE"
BW-0150,Bobby,Wagner,MLB,2012,SEA,"Bobby Wagner, SEA MLB"
BW-0350,Blair,Walsh,PK,2012,SEA,"Blair Walsh, SEA PK"
BW-0400,Bryan,Walters,RWR,2010,JAC,"Bryan Walters, JAC RWR"
BW-0700,Ben,Watson,TE,2004,BAL,"Ben Watson, BAL TE"
BW-0735,Brandon,Watts,SLB,2014,MIA,"Brandon Watts, MIA SLB"
BW-0770,B.W.,Webb,LCB,2013,NO,"B.W. Webb, NO LCB"
BW-0850,Brandon,Weeden,QB,2012,HOU,"Brandon Weeden, HOU QB"
BW-0885,Brandon,Wegher,RB,2015,LA,"Brandon Wegher, LA RB"
BW-1650,Brandon,Wilds,RB,2016,NYJ,"Brandon Wilds, NYJ RB"
BW-2020,Brandon,Williams,NT,2013,BAL,"Brandon Williams, BAL NT"
BW-2030,Brandon,Williams,TE,2013,SEA,"Brandon Williams, SEA TE"
BW-2040,Brandon,Williams,RCB,2016,ARI,"Brandon Williams, ARI RCB"
BW-2450,Bryce,Williams,TE,2016,LA,"Bryce Williams, LA TE"
BW-2625,Brad,Wing,P,2013,NYG,"Brad Wing, NYG P"
BW-2650,Billy,Winn,LDE,2012,DEN,"Billy Winn, DEN LDE"
BW-2670,Brian,Winters,RG,2013,NYJ,"Brian Winters, NYJ RG"
BW-2750,Bryan,Witzmann,LT,2014,KC,"Bryan Witzmann, KC LT"
BW-2900,Blidi,Wreh-Wilson,LCB,2013,ATL,"Blidi Wreh-Wilson, ATL LCB"
CA-0450,Chas,Alecxih,LDT,2012,CAR,"Chas Alecxih, CAR LDT"
CA-0750,C.J.,Anderson,RB,2013,DEN,"C.J. Anderson, DEN RB"
CA-0900,Colt,Anderson,FS,2009,BUF,"Colt Anderson, BUF FS"
CA-1175,Cameron,Artis-Payne,RB,2015,CAR,"Cameron Artis-Payne, CAR RB"
CA-1300,Cliff,Avril,RDE,2008,SEA,"Cliff Avril, SEA RDE"
CB-0200,Chris,Baker,RDE,2009,WAS,"Chris Baker, WAS RDE"
CB-0450,Chris,Banjo,SS,2013,NO,"Chris Banjo, NO SS"
CB-0650,Chris,Barker,LG,2013,NE,"Chris Barker, NE LG"
CB-0700,Connor,Barth,PK,2008,CHI,"Connor Barth, CHI PK"
