player,fname,lname,posd,start,cteam,comb_player
AE-0600,Abram,Elam,INA,2006,INA,Abram Elam
AE-0700,Aaron,Elling,INA,2003,INA,Aaron Elling
AE-0750,Andre,Ellington,RB,2013,ARI,Andre Ellington
AE-0775,Alex,Ellis,TE,2016,JAC,Alex Ellis
AE-0800,Atiyyah,Ellison,INA,2006,INA,Atiyyah Ellison
AE-0900,Auston,English,INA,2011,INA,Auston English
AE-1000,Alonzo,Ephraim,INA,2003,INA,Alonzo Ephraim
AE-1025,Aaron,Epps,INA,2016,INA,Aaron Epps
AE-1037,Alex,Erickson,RWR,2016,CIN,Alex Erickson
AE-1050,Antoine,Everett,INA,2015,INA,Antoine Everett
AE-1100,Antone,Exum,FS,2014,MIN,Antone Exum
AE-1200,Anthony,Ezeakunne,INA,2015,INA,Anthony Ezeakunne
AF-0050,Anthony,Fabiano,C,2016,CLE,Anthony Fabiano
AF-0100,Alan,Faneca,INA,1998,INA,Alan Faneca
AF-0200,Anthony,Fasano,TE,2006,TEN,Anthony Fasano
AF-0300,A.J.,Feeley,INA,2001,INA,A.J. Feeley
AF-0400,Aaron,Fields,INA,2000,INA,Aaron Fields
AF-0500,Alfred,Fincher,INA,2005,INA,Alfred Fincher
AF-0600,Anthony,Floyd,INA,2003,INA,Anthony Floyd
AF-0700,Andre,Fluellen,INA,2008,INA,Andre Fluellen
AF-0800,Al,Fontenot,INA,1993,INA,Al Fontenot
AF-0900,Arian,Foster,INA,2009,INA,Arian Foster
AF-0950,A.J.,Francis,RDE,2013,WAS,A.J. Francis
AF-1000,Aaron,Francisco,INA,2005,INA,Aaron Francisco
AF-1100,Aubrayo,Franklin,INA,2003,INA,Aubrayo Franklin
AF-1150,Andrew,Franks,PK,2015,MIA,Andrew Franks
AF-1200,Andre,Frazier,INA,2005,INA,Andre Frazier
AF-1300,Antonio,Freeman,INA,1995,INA,Antonio Freeman
AF-1400,Arturo,Freeman,INA,2000,INA,Arturo Freeman
AF-1500,Alani,Fua,WLB,2015,ARI,Alani Fua
AF-1600,Adam,Fuehne,INA,2016,INA,Adam Fuehne
AG-0100,Andrew,Gachkar,SLB,2011,DAL,Andrew Gachkar
AG-0200,Anthony,Gaitor,DB,2011,NO,Anthony Gaitor
AG-0250,Andy,Gallik,INA,2015,INA,Andy Gallik
AG-0300,Antonio,Garay,INA,2003,INA,Antonio Garay
AG-0400,Andrew,Gardner,LG,2009,SF,Andrew Gardner
AG-0500,Antonio,Gates,TE,2003,SD,Antonio Gates
AG-0600,Akbar,Gbaja-Biamila,INA,2003,INA,Akbar Gbaja-Biamila
AG-0650,Adam,Gettis,LG,2012,NYG,Adam Gettis
AG-0700,Aaron,Gibson,INA,2000,INA,Aaron Gibson
AG-0750,Alex,Gillett,INA,2013,INA,Alex Gillett
AG-0775,Adarius,Glanton,WLB,2014,TB,Adarius Glanton
AG-0787,Andrew,Gleichert,INA,2015,INA,Andrew Gleichert
AG-0800,Aaron,Glenn,INA,1994,INA,Aaron Glenn
